timestamp,open,high,low,close,volume
2025-10-25 11:30:00,15.877,15.883,15.853,15.871,16603.62
2025-10-25 11:45:00,15.871,15.919,15.868,15.894,30467.72
2025-10-25 12:00:00,15.894,15.939,15.893,15.93,24538.61
2025-10-25 12:15:00,15.93,15.959,15.91,15.944,24794.31
2025-10-25 12:30:00,15.943,15.945,15.921,15.941,17269.56
2025-10-25 12:45:00,15.942,15.968,15.922,15.951,33546.63
2025-10-25 13:00:00,15.952,15.965,15.908,15.928,21863.2
2025-10-25 13:15:00,15.928,15.959,15.907,15.918,28616.78
2025-10-25 13:30:00,15.918,15.928,15.893,15.906,28090.37
2025-10-25 13:45:00,15.905,15.922,15.884,15.916,25069.4
2025-10-25 14:00:00,15.917,15.932,15.898,15.914,24748.89
2025-10-25 14:15:00,15.914,15.96,15.913,15.937,23684.18
2025-10-25 14:30:00,15.937,15.966,15.925,15.95,21229.21
2025-10-25 14:45:00,15.95,15.965,15.933,15.954,10488.57
2025-10-25 15:00:00,15.954,15.961,15.906,15.913,15791.85
2025-10-25 15:15:00,15.912,15.936,15.912,15.922,19164.37
2025-10-25 15:30:00,15.922,15.927,15.894,15.894,17260.38
2025-10-25 15:45:00,15.895,15.915,15.873,15.899,30818.99
2025-10-25 16:00:00,15.899,15.914,15.879,15.883,29895.67
2025-10-25 16:15:00,15.884,15.898,15.868,15.896,22369.39
2025-10-25 16:30:00,15.896,15.923,15.888,15.903,22013.87
2025-10-25 16:45:00,15.904,15.92,15.883,15.913,22718.28
2025-10-25 17:00:00,15.913,15.967,15.905,15.962,14788.48
2025-10-25 17:15:00,15.962,15.962,15.935,15.938,8602.26
2025-10-25 17:30:00,15.939,15.979,15.939,15.958,27382.23
2025-10-25 17:45:00,15.958,15.967,15.947,15.953,7791.44
2025-10-25 18:00:00,15.952,15.976,15.933,15.972,13868.65
2025-10-25 18:15:00,15.972,16.008,15.965,15.998,17526.9
2025-10-25 18:30:00,15.998,16.037,15.997,16.032,30118.47
2025-10-25 18:45:00,16.031,16.042,16.019,16.033,15644.29
2025-10-25 19:00:00,16.033,16.033,16.009,16.015,22159.48
2025-10-25 19:15:00,16.016,16.032,16.007,16.019,12184.04
2025-10-25 19:30:00,16.02,16.035,16.02,16.026,10497.16
2025-10-25 19:45:00,16.027,16.035,16.018,16.034,7197.27
2025-10-25 20:00:00,16.035,16.051,16.026,16.032,15761.31
2025-10-25 20:15:00,16.033,16.047,16.022,16.027,12411.65
2025-10-25 20:30:00,16.027,16.027,15.978,16.012,18263.61
2025-10-25 20:45:00,16.013,16.035,15.996,16.004,10033.83
2025-10-25 21:00:00,16.004,16.017,15.988,15.995,21840.97
2025-10-25 21:15:00,15.996,16.011,15.978,15.994,13426.32
