timestamp,datetime,symbol,direction,entry_price,size,sl_price,atr,risk_usd,rsi,adx,macd_line,macd_signal,volume
1763944211.5406148,2025-11-23 19:30:11,BCH/USDT,SHORT,540.61,0.3888113269755569,551.2926480486283,3.560882682876102,4.1535345634,39.3718123674092,18.726879809221817,-2.2406421226957036,-1.4615536849367345,33.029
1763944213.641633,2025-11-23 19:30:13,POL/USDT,SHORT,0.13301,1704.450624402801,0.1352005141460511,0.0007301713820170414,3.733623204,33.36953573294698,22.606303660726265,-0.0006257617148807959,-0.00032850905576701557,54583.0
1763944215.993809,2025-11-23 19:30:15,BNB/USDT,SHORT,841.35,0.1494463313950476,851.1707469564465,3.273582318815487,1.4676746042,35.836433142552266,25.838358396558835,-1.7818505988265088,-0.2711131409660362,179.78
1763990120.713865,2025-11-24 08:15:20,XMR/USDT,LONG,389.81,0.25957388957700667,381.87069256114984,2.646435812950056,2.06083691245,56.82099559316723,35.272094116145865,1.4747815397277577,1.2306880838930006,1.061
1763996413.414436,2025-11-24 10:00:13,XMR/USDT,SHORT,383.68,0.23999871866110553,392.25337202352097,2.8577906745069948,2.05759830025,40.30499815580414,27.555687758685,-0.5095879435679649,0.3509502185197258,12.271
1764000909.021236,2025-11-24 11:15:09,BCH/USDT,LONG,554.55,0.17808614051720595,543.0143074315964,3.845230856134494,2.0543469677,64.35367349771244,28.165442520456185,2.10284899181363,1.2144273970093524,19.219
1764001825.26672,2025-11-24 11:30:25,XRP/USDT,LONG,2.104,39.50569893356972,2.0544963027425855,0.016501232419138152,1.9556781599500002,63.26264418868917,26.76287979412416,0.008711219619984778,0.0057185714962081115,191693.1
1764009015.528946,2025-11-24 13:30:15,SUI/USDT,LONG,1.5163,36.13224428279821,1.4592582804234715,0.019013906525509525,2.0610453460500002,83.24369818671505,42.36429790115449,0.03478765508975834,0.02267829173574837,89762.9
1764011711.0977988,2025-11-24 14:15:11,LINK/USDT,LONG,13.1,6.642088718233059,12.789744904574505,0.10341836514183154,2.0607418691,71.49367900585194,39.740969267097874,0.1584616151240823,0.13094851143009886,4935.77
1764011714.7921321,2025-11-24 14:15:14,LINK/USDT,LONG,13.101,5.23995348688932,12.790744904574506,0.10341836514183154,1.6257222691000002,71.59401506184547,39.740969267097874,0.15854138720385613,0.13096446584605362,8749.17
1764013522.78261,2025-11-24 14:45:22,SUI/USDT,LONG,1.5362,33.12655897146758,1.4741788601430166,0.020673713285661158,2.05454694695,73.53583266079684,52.54389159462212,0.041989575163001946,0.035348972867401504,256397.5
1764013524.099663,2025-11-24 14:45:24,INJ/USDT,LONG,5.784,11.291453716756106,5.624532464448936,0.053155845183688086,1.8006202970000003,67.58384880536892,43.35392564250206,0.07577677676477101,0.07076208892482207,3154.5
1764013525.760464,2025-11-24 14:45:25,INJ/USDT,LONG,5.784,9.260294215352257,5.624532464448936,0.053155845183688086,1.476716297,67.58384880536892,43.35392564250206,0.07577677676477101,0.07076208892482207,3180.2
1764013528.702564,2025-11-24 14:45:28,INJ/USDT,LONG,5.783,7.5921302280508,5.623532464448936,0.053155845183688086,1.21069829705,67.38925930349436,43.35392564250206,0.07569700468499985,0.07074613450886784,3325.0
1764015308.0451,2025-11-24 15:15:08,SOL/USDT,LONG,138.7,0.6925141907024213,135.72908750055623,0.9903041664812492,2.0573990652000003,79.0541718275083,47.27947891348542,1.8358280627861348,1.722956980723484,4986.34
1764015309.183569,2025-11-24 15:15:09,XRP/USDT,LONG,2.2582,27.584286630768844,2.200962718995282,0.019079093668239244,1.5788495652,84.84175314235274,61.349700383130326,0.04290957007002394,0.037284402736451644,143037.0
1764015309.1848042,2025-11-24 15:15:09,INJ/USDT,LONG,5.862,9.837958240794064,5.701514508340446,0.05349516388651825,1.5788495652,74.1846324655778,44.9499241363303,0.0812992120477336,0.07447905602150882,448.7
1764015313.231617,2025-11-24 15:15:13,ETH/USDT,LONG,2974.83,0.019727838492652566,2913.4555535014165,20.458148832861088,1.2107851681,76.28566181863955,49.402930453339444,37.338876354700005,34.114808476769156,251.496
1764016210.002499,2025-11-24 15:30:10,HBAR/USDT,LONG,0.14973,282.07116953146357,0.1461830808467173,0.0011823063844275665,1.0004836338,69.71997832750723,43.1945843444197,0.0012898443244396818,0.0010481147630394302,206451.0
1764016210.687872,2025-11-24 15:30:10,HBAR/USDT,LONG,0.14973,270.1550930229581,0.1461830808467173,0.0011823063844275665,0.9582182738,69.71997832750723,43.1945843444197,0.0012898443244396818,0.0010481147630394302,206532.0
1764016210.73386,2025-11-24 15:30:10,HBAR/USDT,LONG,0.14973,258.7689863047875,0.1461830808467173,0.0011823063844275665,0.9178326737999999,69.71997832750723,43.1945843444197,0.0012898443244396818,0.0010481147630394302,206532.0
1764016212.763038,2025-11-24 15:30:12,HBAR/USDT,LONG,0.14973,247.8433545310454,0.1461830808467173,0.0011823063844275665,0.8790803412,69.71997832750723,43.1945843444197,0.0012898443244396818,0.0010481147630394302,206532.0
1764016212.844308,2025-11-24 15:30:12,HBAR/USDT,LONG,0.14973,247.84289630238843,0.1461830808467173,0.0011823063844275665,0.8790787159,69.71997832750723,43.1945843444197,0.0012898443244396818,0.0010481147630394302,206451.0
1764018027.813789,2025-11-24 16:00:27,XRP/USDT,LONG,2.2422,22.047493005276515,2.179417654385071,0.020927448538309634,1.3841933258,69.61281397559013,63.558850605778765,0.040887557618663806,0.04001605972199615,1358503.0
1764020342.989929,2025-11-24 16:39:02,BTC/USDT,LONG,50000,0.01,49000,100,10.0,50,25,10,5,1000
