timestamp,datetime,symbol,direction,entry_price,exit_price,size,reason,pnl_usd,pnl_pct,duration_sec,duration_min
1763945891.406819,2025-11-23 19:58:11,BNB/USDT,SHORT,841.35,838.5,0.00747231656975238,Partial P1,0.3772100127576699,0.003387413086111633,1675.9807500839233,27.93301250139872
1763945937.2738628,2025-11-23 19:58:57,BNB/USDT,SHORT,841.35,837.57,0.00747231656975238,Partial P2,0.5029466836768932,0.004492779461579572,1721.8478009700775,28.69746334950129
1763945948.390126,2025-11-23 19:59:08,POL/USDT,SHORT,0.13301,0.13258,85.22253122014006,Partial P1,0.6801269326554497,0.00323283963611748,1735.348644733429,28.922477412223817
1763946013.093024,2025-11-23 20:00:13,POL/USDT,SHORT,0.13301,0.13246,85.22253122014006,Partial P2,0.9068359102072662,0.004135027441545711,1800.0515427589417,30.00085904598236
1763946019.7039301,2025-11-23 20:00:19,BNB/USDT,SHORT,841.35,837.01,0.00747231656975238,Partial P3,0.6286833545961165,0.005158376418850695,1804.277869939804,30.071297832330067
1763946143.568015,2025-11-23 20:02:23,POL/USDT,SHORT,0.13301,0.13231,85.22253122014006,Partial P3,1.1335448877590826,0.005262762198330791,1930.5265316963196,32.17544219493866
1763946258.3616052,2025-11-23 20:04:18,POL/USDT,SHORT,0.13301,0.13216,85.22253122014006,Partial P4,1.3602538653108993,0.00639049695511608,2045.3201270103455,34.08866878350576
1763946316.473071,2025-11-23 20:05:16,BTC/USDT,SHORT,100.0,102.0,1.0,Soft Trend Exit,-2.0,-0.02,1763946316.4730701,29399105.274551168
1763946435.555435,2025-11-23 20:07:15,ETH/USDT,LONG,100.0,96.0,1.0,Early Invalidation (Real-Time),-4.0,-0.04,0.00026917457580566406,4.486242930094401e-06
1763946435.5562198,2025-11-23 20:07:15,BTC/USDT,SHORT,100.0,104.0,1.0,Early Invalidation (Real-Time),-4.0,-0.04,0.0001678466796875,2.797444661458333e-06
1763947101.627606,2025-11-23 20:18:21,BTC/USDT,SHORT,100.0,106.0,1.0,Structure Break (Swing High),-6.0,-0.06,1763947101.627605,29399118.360460084
1763947147.974072,2025-11-23 20:19:07,BCH/USDT:USDT,SHORT,540.64,546.76,0.388,Early Invalidation (Real-Time),-2.374560000000002,-0.011319917135247123,779.1242671012878,12.985404451688131
1763947193.760066,2025-11-23 20:19:53,BTC/USDT,LONG,100.0,99.0,1.0,Stagnation Exit,-1.0,-0.01,3000.0005011558533,50.000008352597554
1763992830.613657,2025-11-24 09:00:30,XMR/USDT:USDT,LONG,389.83,387.88,0.259,Soft Trend Exit,-0.5050499999999971,-0.005002180437626629,1481.4703812599182,24.691173020998637
1764000013.66523,2025-11-24 11:00:13,XMR/USDT,SHORT,383.68,385.89,0.23999871866110553,Stagnation Exit,-0.5303971682410383,-0.005760008340283516,3600.8696370124817,60.01449395020803
1764003648.8203342,2025-11-24 12:00:48,XRP/USDT,LONG,2.104,2.1244,7.901139786713944,Partial P1,0.6649599244498455,0.009695817490494283,1824.0624520778656,30.401040867964426
1764003714.831481,2025-11-24 12:01:54,XRP/USDT,LONG,2.104,2.1296,7.901139786713944,Partial P2,0.9974398866747684,0.012167300380228063,1890.0736000537872,31.50122666756312
